date,Open,HIgh,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
16-11-23,26200,26275,25966.95,26203.45,26150,26174.4,26164.86,27298.95,21410,16298,426434922.05,5355
17-11-23,26200,26480,26068.05,26174.4,26200,26199.8,26268.62,27298.95,21410,18638,489594553.65,6575
20-11-23,26199.8,26315,25905.05,26199.8,25980,25953.65,26084.42,27298.95,21410,19776,515845555.3,5312
21-11-23,26003,26195.4,25856.95,25953.65,25954.9,25937.05,25939.63,27298.95,21410,12026,311949956.75,3981
22-11-23,25930.35,26100,25880.05,25937.05,26000,25997.05,25962.98,27298.95,21410,39407,1023123140,4676
23-11-23,26100,26100,25869.6,25997.05,25898.05,25922.2,25940.18,27298.95,21410,57461,1490548465.5,3436
24-11-23,25922.2,26046.85,25600,25922.2,25600,25645.4,25799.93,27298.95,21410,13597,350801712.7,6021
28-11-23,25615,26331,25600,25645.4,26078,26067.45,26050.07,27298.95,21410,16523,430425357.35,7818
29-11-23,26242.1,26242.1,25916.05,26067.45,26080,26106.9,26066.74,27298.95,21410,15622,407214673,7004
30-11-23,26243,26950,26107,26106.9,26945,26741.75,26581.89,27298.95,21410,42932,1141213911.35,14915
1-12-23,26839.95,27065.45,26625,26741.75,27050,27026.55,26893.92,27298.95,21410,16305,438505332,6253
4-12-23,27120.15,27915,27051.7,27026.55,27700,27717,27556.39,27915,21410,29221,805225157.05,12821
5-12-23,27749.9,28050,27601,27717,28000,28003.85,27813.01,28050,21410,20686,575339950.5,7628
6-12-23,28000,28043.45,27613,28003.85,27899.7,27799.1,27794.66,28050,21410,14937,415168806.35,6660
7-12-23,27900,28149.8,27551,27799.1,28000.1,28020.5,27953.24,28149.8,21410,19069,533040341.5,7833
8-12-23,27880.5,28151,27536.05,28020.5,27678.95,27670.25,27842.08,28151,21410,21927,610493266.45,6249
11-12-23,27880,28381.6,27742.85,27670.25,28251.35,28302.6,28108.56,28381.6,21410,22308,627045672.05,10103
12-12-23,28250,28800,28200.05,28302.6,28650,28606.8,28584.43,28800,21410,19543,558625473.05,9008
13-12-23,28507.5,28932.45,28220.05,28606.8,28420.05,28536.85,28524.94,28932.45,21410,16860,480930439.7,7227
14-12-23,28550,28892,28465.7,28536.85,28745.95,28733.05,28678.57,28932.45,21410,16406,470500610.5,6901
15-12-23,28799,28997.65,28640,28733.05,28844.85,28758.9,28760.71,28997.65,21410,18437,530261217.7,9588
18-12-23,28789,28859.3,28480,28758.9,28500.2,28557,28622.51,28997.65,21410,9633,275720671.25,5070
19-12-23,28700,28724.65,28407.05,28557,28575,28585.95,28566.44,28997.65,21410,11149,318487199.7,5253
20-12-23,28779.9,28779.9,28108.55,28585.95,28158.2,28253,28423.58,28997.65,21410,15113,429565606.45,6712
21-12-23,28005,28498,27950,28253,28140,28213.8,28250.08,28997.65,21410,32973,931489983.75,12634
22-12-23,28213.8,28372.35,27905.75,28213.8,28184.95,28186.55,28174.72,28997.65,21410,21741,612546623.45,7416
26-12-23,28370,28860,28257.2,28186.55,28513.4,28606.75,28596.69,28997.65,21410,15472,442448025.6,7453
27-12-23,28599.8,29250,28429.9,28606.75,28699.9,28644.9,28760.32,29250,21410,27058,778196788.95,10079
28-12-23,28650,28879.85,28501,28644.9,28600,28601.5,28618.88,29250,21410,9507,272079723.15,5384
29-12-23,28700,28901,28444.05,28601.5,28809.15,28653.3,28596.79,29250,21410,11742,335783512.75,5615
1-1-24,28750,28750,28351,28653.3,28370,28461.6,28555.35,29250,21410,5760,164478788.7,2991
2-1-24,28610,28610,27950,28461.6,28054,28088.55,28137.97,29250,21410,16850,474124800.95,8280
3-1-24,28088.55,28435,28020.4,28088.55,28105.05,28221.75,28227.77,29250,21410,9011,254360446.15,3910
4-1-24,28440,28498,28175,28221.75,28340.05,28357.9,28316.8,29250,21410,14453,409262733.85,5397
5-1-24,28200,28250.05,26931.35,28357.9,26970,27023.3,27363.21,29250,21410,78459,2146890103.35,25486
8-1-24,26983.05,27600,26950.05,27023.3,27380,27329.65,27378.3,29250,21410,34058,932450294.5,12431
9-1-24,27501,27736.3,27236.3,27329.65,27260.55,27312.9,27506.85,29250,21410,18242,501779915.5,8059
10-1-24,27392.95,27392.95,26800,27312.9,26850,26842.15,26946.31,29250,21410,14247,383904097.45,5847
11-1-24,26970,27140,26600,26842.15,26794.05,26909.95,26873,29250,21410,19750,530741701.85,7845
12-1-24,27027.3,27050,26751,26909.95,26900,26874,26865.25,29250,21410,14382,386376027.8,5058
15-1-24,26951,26955.05,26725.65,26874,26800,26813.7,26835.71,29250,21410,11395,305792945.95,4188
16-1-24,26890,27348,26632.9,26813.7,27088.8,27082.1,27034.5,29250,21410,26736,722794484.2,11022
17-1-24,26959.95,27087.85,26062,27082.1,26070,26137,26673.64,29250,21410,48405,1291137679.3,18656
18-1-24,26248.9,26598,25650,26137,26450,26477.15,26112.73,29250,21410,28106,733924250.5,10791
19-1-24,26618.95,26780,26456.15,26477.15,26651,26649.5,26640.88,29250,21410,52520,1399179011.2,19450
20-1-24,26799,28000,26558.65,26649.5,27431.8,27593.8,27365.02,29250,21410,36549,1000164134.9,14435
23-1-24,27600,28165,27414.8,27593.8,27454.05,27493.75,27759.53,29250,21410,38128,1058415446.1,15164
24-1-24,27454,27859.8,27218.45,27493.75,27540.5,27635.15,27617.3,29250,21410,46946,1296521777.4,14947
25-1-24,27699.95,28249.5,27270.45,27635.15,27949.5,27948.8,27707.04,29250,21410,25490,706252472.1,8929
29-1-24,27998.75,28850,27921.95,27948.8,28316,28411.55,28448.12,29250,21860,35863,1020234995.55,12113
30-1-24,28434.95,28700,27999.05,28411.55,28019,28077.75,28242.28,29250,21860,30799,869833993.95,10325
31-1-24,28100,28700,28012.35,28077.75,28410,28556.25,28472.55,29250,21860,63061,1795507697.4,21319
1-2-24,29500,30737.75,29202.1,28556.25,29500,29613.55,30002.18,30737.75,21860,174274,5228599868.5,56951
2-2-24,29500,29699.85,28374.3,29613.55,28450,28453.95,28767.13,30737.75,21860,64360,1851452423.95,20529
5-2-24,29000,29000.05,26699.2,28453.95,26950,26954.8,27582.25,30737.75,22605.6,71596,1974778811.7,26754
6-2-24,27251,27915,27231.45,26954.8,27638,27569.4,27550.51,30737.75,22605.6,58072,1599912935.1,19097
7-2-24,27844.9,28207,27705.05,27569.4,28175,28116.3,27976.48,30737.75,22605.6,19792,553710487.45,8609
8-2-24,28125.1,28250,27247.85,28116.3,27450,27370.2,27605.79,30737.75,22605.6,32063,885124360.9,9988
9-2-24,27450,27825,27200,27370.2,27600,27630.1,27563.59,30737.75,22605.6,25267,696449286.4,13071
12-2-24,27630.1,27709.6,27162,27630.1,27200,27265.5,27363.87,30737.75,22605.6,17053,466636052.15,7780
13-2-24,27299.95,27500,26993.85,27265.5,27270.4,27249.65,27214.35,30737.75,22605.6,19098,519739712.4,10376
