date,Open,High,Low,PREV_CLOSE,LTP,Close,VWAP,52W_H,52W_L,VOLUME ,VALUE ,Trades
7-6-22,633.55,633.55,603.9,632.45,607.5,609.9,613.08,1132.7,603.9,1310003,803134125.2,36134
8-6-22,610,622,602.5,609.9,611,611.9,612.29,1132.7,602.5,508973,311636724.9,13271
9-6-22,610.8,617.15,608.05,611.9,615.5,616,612.79,1132.7,602.5,291742,178776252.2,8264
10-6-22,611,614.75,606,616,611.3,611.05,610.16,1132.7,602.5,331362,202184754.35,9840
13-6-22,606,608,588.85,611.05,598.35,596.5,598.03,1132.7,588.85,673778,402938825,17940
14-6-22,591,607.5,589.85,596.5,591,591.65,596.71,1132.7,588.85,271533,162025570.05,9157
15-6-22,593.35,610,589.5,591.65,610,606.4,600.33,1132.7,588.85,307271,184465061.5,9272
16-6-22,606,614.7,576.6,606.4,587.35,585.4,590.08,1132.7,576.6,1042050,614891663.7,34090
17-6-22,586.25,590.5,577.7,585.4,584,582.9,583.64,1132.7,576.6,437592,255397568.5,20677
20-6-22,582,602.55,575.65,582.9,597.2,597.35,591.16,1132.7,575.65,477688,282388917.1,22235
21-6-22,599.9,610.8,597.4,597.35,602,602.25,604.26,1132.7,575.65,376418,227454869.45,15006
22-6-22,600,604.65,593.25,602.25,600,602.2,599.55,1132.7,575.65,265461,159158349.1,12286
23-6-22,604.6,610,580,602.2,603.05,606.45,603.38,1132.7,575.65,244575,147571895.95,10142
24-6-22,600,614.1,600,606.45,612,610.9,609.32,1132.7,575.65,197043,120061937.8,6695
27-6-22,615,629,611,610.9,626.55,625.95,621.44,1132.7,575.65,381629,237159943.8,9627
28-6-22,619.3,632,617.2,625.95,625.5,627.85,625.17,1132.7,575.65,347444,217211195.7,11967
29-6-22,623.85,634.7,617.4,627.85,627.9,630.25,625.75,1132.7,575.65,238430,149197722,10332
30-6-22,632,639.65,622.55,630.25,635.95,636.8,631.72,1132.7,575.65,508755,321388898.35,19132
1-7-22,634,648.95,613.75,636.8,646,646.65,639.14,1132.7,575.65,327788,209502740,9866
4-7-22,650,655.8,641.05,646.65,645.25,645.4,645.28,1132.7,575.65,488166,315005958.65,11590
5-7-22,648.4,650.4,630.1,645.4,637.5,637.5,642.54,1132.7,575.65,181202,116430311,5725
6-7-22,640.4,667.35,634.35,637.5,662,663.35,657.86,1132.7,575.65,751093,494116465.2,13163
7-7-22,667,669.3,648.5,663.35,655,654.1,654.27,1132.7,575.65,320344,209590851.8,12182
8-7-22,659.95,664.95,649,654.1,649,652.55,656.18,1132.7,575.65,176933,116100251.3,4634
11-7-22,650,652.55,641.65,652.55,647,648.1,647.05,1132.7,575.65,138689,89738794.5,4187
12-7-22,646.1,651.55,640.25,648.1,648,643.4,645.54,1132.7,575.65,86211,55652225.8,3351
13-7-22,646.1,668.2,643.5,643.4,659.75,659.05,661.16,1132.7,575.65,495614,327682397.6,13884
14-7-22,659,665.75,642.15,659.05,646.35,650.7,656.25,1132.7,575.65,235108,154289347.45,10360
15-7-22,648.1,654.75,634,650.7,644.1,643.3,644.37,1132.7,575.65,144257,92955526.25,4894
18-7-22,648,660.55,647.7,643.3,656.15,657,654.84,1132.7,575.65,264975,173516010,7045
19-7-22,655,672.65,648.5,657,672.45,668.9,662.2,1132.7,575.65,475362,314785230.7,11363
20-7-22,685.8,685.8,658.25,668.9,664.5,666.25,667.97,1132.7,575.65,936346,625453162.15,20506
21-7-22,667,674.5,662.65,666.25,672.9,672.85,669.82,1132.7,575.65,221454,148333968.75,9955
22-7-22,675,699.8,665,672.85,692.95,695.75,687.02,1132.7,575.65,957378,657740818.4,22074
25-7-22,700,700,671.25,695.75,680.05,680.85,680.89,1132.7,575.65,613819,417945314.65,18223
26-7-22,680,699.2,671.4,680.85,697,697.35,691.06,1132.7,575.65,505410,349269956.65,14266
27-7-22,697,727.9,688.15,697.35,722,723.8,714.76,1132.7,575.65,1205792,861855964.2,24999
28-7-22,725,728.25,710,723.8,716,720,721.44,1132.7,575.65,585894,422687875.5,14565
29-7-22,728.2,737.1,720,720,730.3,733.85,729.08,1132.7,575.65,255925,186591036.45,8119
1-8-22,733.85,761.8,730.55,733.85,749.1,752.1,749.44,1120,575.65,1144583,857795595.1,33786
2-8-22,737,740.05,710,752.1,731,732.75,727.18,1120,575.65,778345,565994903.3,22976
3-8-22,734.5,736.35,721.65,732.75,725,726.35,726.34,1120,575.65,597054,433665080,7559
4-8-22,729.85,739.45,718.05,726.35,733.6,735.95,732.8,1120,575.65,371663,272354327.4,8040
5-8-22,736.2,760,731.2,735.95,756.75,756.8,748.5,1120,575.65,563504,421784768.45,17243
8-8-22,756.8,759,745.9,756.8,755.45,755.1,753.9,1119.6,575.65,567789,428055569.9,12340
10-8-22,757,758,742.1,755.1,756,755.25,752.03,1119.6,575.65,311893,234551433.55,14418
11-8-22,759,765.9,745.05,755.25,753.8,749.1,755.4,1119.6,575.65,231118,174587091.8,8427
12-8-22,753.55,756,735.5,749.1,749.55,749.9,743.58,1119.6,575.65,419061,311605317.2,13412
16-8-22,755.35,769.8,749.85,749.9,757,758.05,763.4,1119.6,575.65,513078,391684853.5,18442
17-8-22,759.25,766.55,755,758.05,755,761.2,761.93,1119.6,575.65,416944,317683857.65,13611
18-8-22,760.8,776.4,745,761.2,774.9,774.05,765.67,1119.6,575.65,958381,733806254.9,31812
19-8-22,777,778.5,755,774.05,755.05,758.5,765.19,1119.6,575.65,565100,432407821.15,20209
22-8-22,738.8,756,723.3,758.5,728,730.7,736.83,1119.6,575.65,830863,612203489.85,22872
23-8-22,722,749.95,718,730.7,749.95,744.1,740.56,1119.6,575.65,410901,304297479.6,14985
24-8-22,745.9,753.95,736.05,744.1,751.05,750.05,745.28,1119.6,575.65,281248,209609753.05,9284
25-8-22,754,769.4,749,750.05,761.5,761.05,758.18,1119.6,575.65,562735,426652478.85,14782
26-8-22,759.7,761.4,742,761.05,745,746.4,752.97,1119.6,575.65,501409,377545036.1,15639
29-8-22,735,741.3,725,746.4,732.5,732.7,731.67,1119.6,575.65,502089,367363547.7,17598
30-8-22,738.1,758.8,736.15,732.7,756.5,757,746.52,1119.6,575.65,535045,399420176.45,14521
1-9-22,755,772.9,752.15,757,758,759.9,764.37,1119.6,575.65,262979,201012718.95,8897
2-9-22,761,765.4,743.95,759.9,749,748.25,751.41,1119.6,575.65,274036,205914702,7603
5-9-22,748.25,758.65,744.3,748.25,752.25,755.4,750.11,1119.6,575.65,219105,164352888.2,8079
6-9-22,758,761.8,745.3,755.4,760,759.1,753.47,1119.6,575.65,172059,129641149.05,6704
7-9-22,755,786.8,753,759.1,772,772.15,775.36,1119.6,575.65,1646540,1276663237.3,45770
8-9-22,777,789.95,773,772.15,785,784.3,784.28,1119.6,575.65,1142517,896053180.25,20593
9-9-22,788,796.95,772,784.3,776.35,776.65,788.74,1119.6,575.65,1721443,1357771950.8,29047
12-9-22,778.45,801.5,772.2,776.65,801.5,798.5,790.26,1119.6,575.65,1223536,966912153.05,15298
13-9-22,801,809.8,791.3,798.5,798,798.65,800.64,1119.6,575.65,663741,531416714.85,17472
14-9-22,785,806.5,783.4,798.65,796.35,798.25,798.13,1119.6,575.65,1130815,902539811.4,26141
15-9-22,799,806.3,783.55,798.25,789,790.75,791.31,1119.6,575.65,746232,590500218.8,20609
16-9-22,789.8,794.65,750.5,790.75,765,763.4,769.93,1119.6,575.65,911987,702168980.65,19042
19-9-22,762.8,779,753.05,763.4,765.5,765.1,765.94,1119.6,575.65,626585,479925295.25,21429
20-9-22,772,783.85,765.8,765.1,773.1,776.5,775.64,1119.6,575.65,435798,338022871.6,24778
21-9-22,776.4,779.4,746,776.5,747.95,750.45,760.65,1119.6,575.65,386121,293704464.65,11414
22-9-22,744.8,763.5,737.1,750.45,756.8,755,752.57,1119.6,575.65,453897,341588272.75,13851
